Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
Koisuru Asteroid: KiraKira Zoukan-gou,6.01,School,ONA,12,"Jan 4, 2020 to Mar 27, 2020",Unknown,Unknown,Unknown,Unknown,4-koma manga,44 sec. per ep.,PG-13 - Teens 13 or older,8194,8753,2058,2,143,450,64,81
Xue Ying Ling Zhu Zhi Qi Yu Pian,7.2,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy",ONA,4,"Jan 2, 2020 to Jan 23, 2020",Unknown,Tencent Penguin Pictures,Unknown,Mili Pictures,Novel,19 min. per ep.,PG-13 - Teens 13 or older,2791,10674,909,6,90,453,14,51
Ni Zai Xing Guang Shen Chu,6.51,"Sci-Fi, Mystery",ONA,12,"Dec 15, 2019 to Feb 23, 2020",Unknown,bilibili,Unknown,Unknown,Novel,19 min. per ep.,PG-13 - Teens 13 or older,11123,12602,417,4,48,85,14,29
Hentatsu (TV),5.1,"Adventure, Mystery",TV,12,"Jan 4, 2020 to Mar 21, 2020",Winter 2020,Unknown,Unknown,Yaoyorozu,Original,1 min. per ep.,G - All Ages,10494,6980,4143,1,491,1348,136,588
Ane Naru Mono,6.51,"Horror, Supernatural, Romance, Ecchi",OVA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Manga,Unknown,Unknown,,5668,7076,24,0,0,0,0
Higurashi no Naku Koro ni Gou,7.03,"Mystery, Dementia, Horror, Psychological, Supernatural, Thriller",TV,24,"Oct 1, 2020 to ?",Fall 2020,"Frontier Works, Infinite",Funimation,Passione,Visual novel,23 min. per ep.,R - 17+ (violence & profanity),3542,932,160008,696,69524,19,9352,9687
Murenase! Seton Gakuen Special,6.34,"Comedy, School",Special,1,3-Jul-20,Unknown,Unknown,Unknown,Studio Gokumi,Manga,6 min.,PG-13 - Teens 13 or older,6706,5183,8673,4,172,4493,81,72
Psychogram feat. Hatsune Miku,6.4,Music,Music,1,9-Aug-19,Unknown,Unknown,Unknown,Unknown,Music,3 min.,PG-13 - Teens 13 or older,6418,14077,256,1,5,213,2,5
Fumetsu no Anata e,6.51,"Adventure, Supernatural, Drama, Shounen",TV,20,"Apr 12, 2021 to ?",Spring 2021,"NHK, NHK Enterprises",Unknown,Brain's Base,Manga,20 min. per ep.,Unknown,,2119,55742,220,2,0,0,0
Amrita no Kyouen,6.51,"Fantasy, Horror, Mystery",Movie,1,2021,Unknown,Unknown,Unknown,Unknown,Original,Unknown,R - 17+ (violence & profanity),,10314,1085,0,0,0,0,0
Melty Land Nightmare,6.19,Music,Music,1,16-Feb-18,Unknown,Unknown,Unknown,Unknown,Original,4 min.,G - All Ages,7432,14414,234,1,5,211,1,2
Jie Yao,7.01,"Slice of Life, Comedy, Shounen Ai",ONA,13,"Jan 9, 2020 to Mar 26, 2020",Unknown,Unknown,Unknown,Seven Stone Entertainment,Light novel,18 min. per ep.,PG-13 - Teens 13 or older,3623,5129,9017,62,1047,2876,251,320
Osomatsu-san Movie: Zensetsu Gekijou,6.7,"Comedy, Parody",Special,6,6-Nov-19,Unknown,Unknown,Unknown,Unknown,Manga,2 min. per ep.,PG-13 - Teens 13 or older,4913,9588,1482,2,57,730,24,35
Dorohedoro: Ma no Omake,7.11,"Action, Comedy, Horror, Fantasy, Seinen",Special,6,17-Jun-20,Unknown,Unknown,Unknown,MAPPA,Manga,5 min. per ep.,R+ - Mild Nudity,3149,3304,24518,34,866,14967,262,156
Heya Camp△: Sauna to Gohan to Sanrin Bike,7.44,"Slice of Life, Comedy",Special,1,27-May-20,Unknown,Unknown,Unknown,C-Station,Manga,10 min.,PG-13 - Teens 13 or older,1765,5037,9412,4,176,5468,75,38
Tomica Kizuna Gattai: Earth Granner,5.49,"Action, Adventure, Mecha, Sci-Fi",TV,Unknown,"Apr 5, 2020 to ?",Spring 2020,Unknown,Unknown,OLM,Other,24 min.,PG - Children,9712,10759,884,1,196,1,39,195
Mobile Suit Gundam G40,6.12,"Action, Sci-Fi, Mecha",ONA,1,1-Jan-20,Unknown,Unknown,Unknown,"Sunrise, Bandai Spirits",Original,10 min.,PG-13 - Teens 13 or older,7711,8173,2585,4,85,1506,24,42
Texhnolyze: Revisit,5.79,Sci-Fi,Special,1,2004,Unknown,Unknown,Unknown,Unknown,Original,35 min.,R+ - Mild Nudity,8876,12154,502,2,20,175,16,19
Digimon Adventure:,6.77,"Action, Adventure, Comedy, Fantasy, Kids",TV,66,"Apr 5, 2020 to ?",Spring 2020,"Yomiko Advertising, Fuji TV",Unknown,Toei Animation,Other,23 min. per ep.,PG - Children,4580,2514,41152,194,21700,5,3532,4293
Code Geass: Hangyaku no Lelouch DVD Magazine Picture Drama,6.51,Comedy,Special,4,"Dec 21, 2007 to Jan 25, 2008",Unknown,Unknown,Unknown,Unknown,Original,4 min. per ep.,PG-13 - Teens 13 or older,13693,12724,396,0,12,177,25,26
Dou Hun Wei Zhi Xuan Yue Qiyuan,6.51,"Adventure, Fantasy",ONA,12,"Jun 19, 2018 to Sep 4, 2018",Unknown,Unknown,Unknown,Yi Chen Animation,Original,20 min. per ep.,PG-13 - Teens 13 or older,13860,13349,317,0,50,112,12,34
Jue Ming Xiang Ying,6.51,"Action, Sci-Fi, Mecha",ONA,30,"Jun 2, 2019 to Dec 15, 2019",Unknown,Unknown,Unknown,BUILD DREAM,Original,17 min. per ep.,PG-13 - Teens 13 or older,14722,13932,267,0,41,67,9,28
Made in Abyss 2,6.51,"Sci-Fi, Adventure, Mystery, Drama, Fantasy",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Web manga,Unknown,R - 17+ (violence & profanity),,1662,81060,251,1,2,2,0
"""Star""t",5.53,Music,Music,1,21-Oct-19,Unknown,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,9588,12466,436,0,4,355,9,4
Tanitsu Shikousei Overbloom,5.71,Music,Music,1,3-Dec-19,Unknown,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,9126,13506,297,0,3,245,4,4
Minna e wo Check!,5.47,Music,Music,1,7-Jan-20,Unknown,Unknown,Unknown,Unknown,Original,2 min.,G - All Ages,9768,13393,309,0,3,255,3,4
Yao Jing Zhong Zhi Shou Ce,6.57,"Action, Slice of Life, Comedy, Drama, Ecchi, Fantasy",ONA,14,"Jan 17, 2020 to Apr 10, 2020",Unknown,Unknown,Unknown,BigFireBird Animation,Manga,21 min. per ep.,PG-13 - Teens 13 or older,5526,5090,9175,36,1746,2612,304,505
Xian Wang de Richang Shenghuo,7.19,"Adventure, Slice of Life, Comedy, Demons, Fantasy, School",ONA,15,"Jan 18, 2020 to Mar 28, 2020",Unknown,Unknown,bilibili,Haoliners Animation League,Light novel,18 min. per ep.,PG-13 - Teens 13 or older,2832,2027,59716,446,7490,27621,1296,2186
Inunaki-mura x Taka no Tsume-dan,6.51,"Comedy, Horror, Parody",ONA,1,17-Jan-20,Unknown,Unknown,Unknown,Unknown,Other,2 min.,PG-13 - Teens 13 or older,14603,14607,215,0,4,93,4,31
Re-raise,6.92,Music,Music,1,20-Jan-20,Unknown,Unknown,Unknown,Unknown,Game,3 min.,G - All Ages,3952,10398,1037,2,32,699,10,22
Koi to Yobu ni wa Kimochi Warui,6.51,"Comedy, Romance",TV,Unknown,"Apr, 2021 to ?",Spring 2021,"Sonilude, Blooms",Unknown,Nomad,Web manga,Unknown,Unknown,,4072,16254,107,2,0,3,0
Chihayafuru 3: Ima Hitotabi no,6.66,"Game, Slice of Life, Sports, Drama, School, Josei",Special,1,29-Jan-20,Unknown,Unknown,Unknown,Madhouse,Manga,22 min.,PG-13 - Teens 13 or older,5064,6274,5422,6,182,2752,65,95
Log Horizon: Entaku Houkai,7.28,"Action, Game, Adventure, Magic, Fantasy",TV,12,"Jan 13, 2021 to ?",Winter 2021,Unknown,Funimation,Studio Deen,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,2419,1086,137295,543,50174,13,1739,1319
Fugou Keiji: Balance:Unlimited,7.56,"Mystery, Comedy, Police",TV,11,"Apr 10, 2020 to Sep 25, 2020",Spring 2020,"Aniplex, Dentsu, Animax, Movic, Fuji TV, Sonilude",Aniplex of America,CloverWorks,Novel,23 min. per ep.,PG-13 - Teens 13 or older,1381,674,220520,2010,45585,92334,10683,8007
Zashiki Warashi no Tatami-chan,5.23,"Comedy, Horror, Supernatural",ONA,12,"Apr 10, 2020 to Jun 26, 2020",Unknown,Unknown,Unknown,Zero-G,Original,4 min. per ep.,PG-13 - Teens 13 or older,10277,7149,3922,4,393,1777,88,713
Tokyo Autumn Session,7.57,Music,Music,1,24-Jan-20,Unknown,Magic Capsule,Unknown,CloverWorks,Music,5 min.,Unknown,1360,7043,4100,13,199,2463,38,41
Dream,6.12,"Adventure, Music, Kids, Fantasy",ONA,1,24-Jan-20,Unknown,Unknown,Unknown,Toei Animation,Original,6 min.,G - All Ages,7689,13352,312,0,6,197,3,14
Battle Spirits: Kakumei no Galette,6.51,"Game, Military, Sci-Fi, Adventure, Demons",ONA,Unknown,"Aug 28, 2020 to ?",Unknown,Unknown,Unknown,Bandai Namco Pictures,Card game,Unknown,PG - Children,13427,11528,643,1,134,1,23,51
Kandagawa Jet Girls OVA,5.6,"Sports, Ecchi",OVA,1,24-Jan-20,Unknown,Unknown,Unknown,TNK,Original,22 min.,R+ - Mild Nudity,9430,6774,4493,3,240,2595,68,65
Ruru-chan no Jisatsu Haishin,7.35,Music,Music,1,8-Jan-20,Unknown,Warner Music Japan,Unknown,Unknown,Original,4 min.,PG-13 - Teens 13 or older,2105,10660,911,14,8,822,4,5
Crescent Rise,6.82,Music,Music,1,27-Jan-20,Unknown,Unknown,Unknown,Unknown,Game,6 min.,PG-13 - Teens 13 or older,4341,11792,574,1,9,478,4,19
Nakitai Watashi wa Neko wo Kaburu,7.39,"Comedy, Supernatural, Drama, Romance, School",ONA,1,18-Jun-20,Unknown,"Fuji TV, Toho, BS Fuji, TOHO animation, Universal Music Japan, Fuji Creative, Kadokawa, KDDI, Twin Engine, FILMONY, Dentsu Meitetsu Communications",Unknown,Studio Colorido,Original,1 hr. 44 min.,PG-13 - Teens 13 or older,1944,879,168784,951,3710,122574,960,655
Love Live! Superstar!!,6.51,"Music, Slice of Life, School",TV,Unknown,"Jul, 2021 to ?",Summer 2021,Unknown,Unknown,Unknown,Other,Unknown,PG-13 - Teens 13 or older,,4871,10273,45,0,0,0,0
Watashi no Tenshi,6.6,Music,Music,1,21-Dec-19,Unknown,Unknown,Unknown,Unknown,Original,4 min.,G - All Ages,5368,13166,335,5,8,258,2,4
Hitchcock,6.99,Music,Music,1,11-Apr-18,Unknown,Unknown,Unknown,Unknown,Original,3 min.,G - All Ages,3676,12307,475,0,3,447,0,4
Parade,6.54,Music,Music,1,11-Mar-19,Unknown,Unknown,Unknown,Unknown,Original,5 min.,G - All Ages,5693,13108,341,0,1,311,1,4
Juntoumei Shounen,6.32,Music,Music,1,9-Mar-18,Unknown,Unknown,Unknown,Minakata Laboratory,Original,4 min.,G - All Ages,6780,14112,253,0,2,225,3,2
Kumo to Yuurei,6.36,"Music, Slice of Life",Music,1,13-Aug-18,Unknown,Unknown,Unknown,Unknown,Original,5 min.,G - All Ages,6593,13828,272,2,2,248,1,3
Ame to Cappuccino,6.71,Music,Music,1,1-Aug-19,Unknown,Unknown,Unknown,Unknown,Original,4 min.,G - All Ages,4844,12355,464,0,6,422,3,4
Dakara Boku wa Ongaku wo Yameta,6.96,"Music, Slice of Life",Music,1,4-May-19,Unknown,Unknown,Unknown,Unknown,Original,4 min.,G - All Ages,3763,11607,632,1,6,547,4,6
Love Live! Sunshine!! Photo Session,5.95,Comedy,Movie,10,4-Jan-19,Unknown,Unknown,Unknown,Unknown,Original,4 min. per ep.,PG-13 - Teens 13 or older,8388,9720,1407,1,63,382,53,43
30-pun de Wakaru! Kore made no Love Live! Sunshine!!,6.12,"Music, School",ONA,2,"Nov 18, 2018 to Nov 25, 2018",Unknown,Unknown,Unknown,Unknown,Unknown,30 min. per ep.,PG-13 - Teens 13 or older,7682,9432,1583,1,76,537,46,54
3-pun de Wakaru! Kore made no Love Live! Sunshine!!,6.01,"Music, School",ONA,1,18-Nov-18,Unknown,Unknown,Unknown,Unknown,Unknown,3 min.,PG-13 - Teens 13 or older,8178,9310,1654,5,65,720,36,48
"Annyeong, Tyrano: Yeong-wonhi, Hamkke",6.51,"Adventure, Kids",Movie,1,14-Aug-19,Unknown,Media Castle,Unknown,Tezuka Productions,Picture book,1 hr. 48 min.,G - All Ages,13297,13837,271,0,10,24,14,20
Hikaru no Go Recaps,6.28,"Game, Supernatural, Shounen",Special,2,"Jan 29, 2003 to Oct 29, 2003",Unknown,Unknown,Unknown,Unknown,Manga,30 min. per ep.,PG-13 - Teens 13 or older,6986,11376,682,3,27,250,22,29
Wena Wrist,5.42,"Military, Music",Special,1,28-Jan-20,Unknown,Unknown,Unknown,Unknown,Original,54 sec.,G - All Ages,9887,14440,227,1,8,156,0,24
Star Night Snow,6.24,Music,Music,1,6-Jan-17,Unknown,Unknown,Unknown,Unknown,Music,4 min.,G - All Ages,7165,14539,225,0,9,188,2,2
Darwin's Game: Log Line,6.31,"Action, Mystery, Shounen",Special,1,1-Feb-20,Unknown,Unknown,Unknown,Nexus,Manga,24 min.,Unknown,6820,4997,9570,25,452,4473,160,268
Kokoro Yohou,7.57,"Music, Romance",Music,1,30-Jan-20,Unknown,Unknown,Unknown,Enishiya,Original,3 min.,G - All Ages,1377,8524,2309,16,62,2003,9,17
Suketto Sanjou!! The Animation,6.78,Hentai,OVA,Unknown,"Apr 24, 2020 to ?",Unknown,Pink Pineapple,Unknown,Unknown,Manga,20 min.,Rx - Hentai,,7270,3765,23,1941,6,569,226
"Kokoro Magic ""A to Z""",7.17,Music,Music,1,30-Oct-19,Unknown,Lantis,Unknown,Sunrise,Other,5 min.,G - All Ages,2914,8725,2094,5,70,1326,17,35
Mugen no Ryvius: Light,6.51,"Sci-Fi, Space",Special,6,21-Dec-00,Unknown,Unknown,Unknown,Unknown,Original,1 min. per ep.,PG-13 - Teens 13 or older,15694,14141,250,0,12,63,8,13
3-pun de Wakaru! Kore made no Love Live!,5.93,Music,ONA,1,27-Apr-15,Unknown,Unknown,Unknown,Unknown,Unknown,3 min.,PG-13 - Teens 13 or older,8439,8756,2069,0,79,997,40,44
Kouya no Kotobuki Hikoutai Kanzenban,6.51,"Action, Military, Adventure",Movie,1,11-Sep-20,Unknown,Bandai Namco Arts,Unknown,Unknown,Original,Unknown,PG-13 - Teens 13 or older,15179,8998,1886,4,59,48,37,29
Digimon Adventure: 20 Shuunen Memorial Story,6.74,"Adventure, Drama",ONA,5,"Feb 1, 2020 to Dec 18, 2020",Unknown,Unknown,Unknown,Toei Animation,Original,6 min. per ep.,G - All Ages,4703,7571,3302,3,841,457,309,127
"Tenioha! 2: Limit Over - Mada Mada Ippai, Ecchi Shiyo? The Animation",6.86,Hentai,OVA,1,24-Apr-20,Unknown,Pink Pineapple,Unknown,Studio 1st,Visual novel,26 min.,Rx - Hentai,,7777,3073,20,202,1771,109,103
Wan Jie Shen Zhu 2nd Season,6.78,"Adventure, Fantasy",ONA,48,"Feb 1, 2020 to Jul 8, 2020",Unknown,Unknown,Unknown,Ruo Hong Culture,Manga,9 min. per ep.,PG-13 - Teens 13 or older,4555,12128,503,0,63,236,14,26
Fukai ni Nemuru Oujo no Abaddon The Animation,5.96,Hentai,ONA,Unknown,"Jan 24, 2020 to ?",Unknown,Unknown,Unknown,Peak Hunt,Game,24 min.,Rx - Hentai,,10151,1161,3,496,4,181,89
Niplheim no Karyuudo,5.29,Hentai,ONA,Unknown,"Jan 25, 2020 to ?",Unknown,BOMB! CUTE! BOMB!,Unknown,Unknown,Game,15 min.,Rx - Hentai,,10756,883,2,414,2,133,85
Xixing Ji Zhi Jijie Pian,6.51,"Action, Adventure, Historical, Martial Arts, Fantasy",ONA,22,"Sep 28, 2019 to Jan 31, 2020",Unknown,"Tencent Penguin Pictures, iQIYI",Unknown,BYMENT,Manga,15 min. per ep.,PG-13 - Teens 13 or older,12933,13421,308,4,36,118,6,24
Pianoman,6.48,"Music, Demons, Psychological, Fantasy",ONA,1,17-Jan-20,Unknown,Unknown,Unknown,Echoes,Original,5 min.,PG-13 - Teens 13 or older,6008,11680,605,0,12,454,2,22
Fanren Xiu Xian Chuan Zhi Fanren Feng Qi Tian Nan,7.5,"Action, Adventure, Historical, Fantasy",ONA,17,"Jul 25, 2020 to Nov 29, 2020",Unknown,bilibili,Unknown,"Original Force, Wan Wei Mao Donghua",Novel,18 min. per ep.,PG-13 - Teens 13 or older,1582,8794,2028,15,340,471,53,96
Huo Feng Liao Yuan,6.51,"Action, Adventure, Historical, Martial Arts",ONA,Unknown,Unknown,Unknown,bilibili,Unknown,Unknown,Manga,Unknown,Unknown,,13896,271,4,0,0,0,0
Liang Bu Yi,6.51,"Comedy, Fantasy, Historical, Romance",ONA,Unknown,Unknown,Unknown,bilibili,Unknown,Unknown,Manga,Unknown,Unknown,,11042,786,3,0,0,0,0
Shi Yi Chang An: Ming Yue Ji Shi You,6.62,"Historical, Romance",ONA,12,"Oct 28, 2020 to Jan 6, 2021",Unknown,bilibili,Unknown,Unknown,Manga,16 min. per ep.,PG-13 - Teens 13 or older,5304,8289,2497,25,503,431,57,87
Bai Yao Pu,6.95,"Adventure, Mystery, Historical, Supernatural, Fantasy",ONA,12,"Apr 25, 2020 to Jul 4, 2020",Unknown,bilibili,Unknown,Haoliners Animation League,Novel,24 min. per ep.,PG-13 - Teens 13 or older,3807,7754,3118,18,463,511,131,141
Uzaki-chan wa Asobitai!,7.05,"Slice of Life, Comedy, Romance, Ecchi",TV,12,"Jul 10, 2020 to Sep 25, 2020",Summer 2020,"Movic, AT-X, Enterbrain, Sammy, ABC Animation, Kadokawa Media House, Kadokawa, INCS toenter, IMAGICA Lab.",Funimation,ENGI,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3441,628,232181,1012,34329,126485,5925,13951
Sotsugyou ** Densha,5.2,Hentai,OVA,Unknown,"Apr 24, 2020 to ?",Unknown,Unknown,Unknown,Unknown,Manga,20 min.,Rx - Hentai,,9274,1703,1,843,3,276,170
Chiisana Tsubomi no Sono Oku ni...,6.93,Hentai,OVA,Unknown,"Apr 24, 2020 to ?",Unknown,Nur,Unknown,PoRO,Original,30 min.,Rx - Hentai,,7399,3586,26,1870,7,629,192
Yarichin Kateikyoushi Netori Houkoku,6.86,Hentai,OVA,2,"May 29, 2020 to Jun 5, 2020",Unknown,Unknown,Unknown,Unknown,Visual novel,16 min. per ep.,Rx - Hentai,,7084,4012,40,290,2520,151,122
Ane wa Yanmama Junyuu-chuu,7.64,Hentai,OVA,2,"Jun 5, 2020 to Jul 3, 2020",Unknown,Unknown,Unknown,T-Rex,Manga,20 min. per ep.,Rx - Hentai,,5085,9262,201,666,6545,293,266
Mars Red,6.51,"Action, Military, Historical, Supernatural, Vampire",TV,Unknown,"Apr 6, 2021 to ?",Spring 2021,Unknown,Unknown,Signal.MD,Other,Unknown,Unknown,,4404,13159,62,1,0,1,0
Bessatsu Olympia Kyklos,7.02,"Slice of Life, Comedy, Historical, Sports, Seinen",TV,24,"Apr 20, 2020 to Nov 3, 2020",Spring 2020,Unknown,Unknown,Gosay Studio,Manga,5 min. per ep.,PG-13 - Teens 13 or older,3578,4459,12603,47,2878,3171,695,1245
Koisuru Asteroid: Furikaeri - KiraKira Special!,6.12,"Slice of Life, Comedy, School",Special,1,14-Feb-20,Unknown,Unknown,Unknown,Doga Kobo,4-koma manga,23 min.,PG-13 - Teens 13 or older,7696,7612,3267,1,63,2166,31,60
Haritsuke,5.54,Hentai,OVA,2,"Apr 24, 2020 to Jul 3, 2020",Unknown,Queen Bee,Unknown,Unknown,Manga,19 min. per ep.,Rx - Hentai,,8911,1949,6,225,1153,89,114
Cardfight!! Vanguard Gaiden: If,6.41,"Action, Game, Adventure, Comedy, Parody, Demons",TV,25,"May 30, 2020 to Nov 28, 2020",Spring 2020,Unknown,Unknown,OLM,Original,24 min. per ep.,PG-13 - Teens 13 or older,6362,8912,1932,13,292,471,66,179
"Hatena☆Illusion: Koi to Mahou no Illusion de, Muchuu Sasechaimasu! Special",5.59,"Comedy, Supernatural, Romance, Ecchi",Special,1,20-Feb-20,Unknown,Unknown,Unknown,Children's Playground Entertainment,Light novel,10 min.,Unknown,9439,8784,2036,1,77,1107,24,70
Da Wang Bu Gaoxing,6.46,"Comedy, Demons, Magic, Fantasy, School",ONA,12,"Jan 1, 2020 to Mar 11, 2020",Unknown,bilibili,Unknown,Haoliners Animation League,Web manga,7 min. per ep.,PG-13 - Teens 13 or older,6082,9222,1727,2,223,505,73,97
Saezuru Tori wa Habatakanai: The Storm Breaks,6.51,"Drama, Yaoi",Movie,1,Unknown,Unknown,Unknown,Unknown,GRIZZLY,Manga,Unknown,R+ - Mild Nudity,,6834,4428,9,0,0,0,0
Saezuru Tori wa Habatakanai: Don't Stay Gold,6.51,"Drama, Shounen Ai",OVA,1,1-Mar-21,Unknown,Unknown,Unknown,GRIZZLY,Manga,Unknown,Unknown,,6414,5149,13,0,0,0,0
Valhait Rising: Kandou e.,6.51,"Action, Adventure, Fantasy, Game",ONA,1,6-Jul-16,Unknown,"Asahi Production, Graphinica, pH Studio",Unknown,Studio Colorido,Game,2 min.,G - All Ages,12754,14836,206,0,7,158,3,4
Go for 2020,6.03,"Drama, Sports",ONA,1,20-Feb-17,Unknown,"Production I.G, LIDENFILMS",Unknown,Studio Colorido,Original,4 min.,G - All Ages,8090,13633,286,1,12,187,4,5
Cinderella Girls Gekijou: Extra Stage,6.51,"Slice of Life, Comedy",ONA,Unknown,"Mar 24, 2020 to ?",Unknown,Unknown,Unknown,Unknown,4-koma manga,Unknown,PG-13 - Teens 13 or older,13707,10843,851,0,124,0,34,34
Tokyo 7th Sisters: Bokura wa Aozora ni Naru,6.51,"Music, Slice of Life, Comedy, School",Movie,1,26-Feb-21,Unknown,Toei Animation,Unknown,LandQ studios,Game,1 hr. 10 min.,PG-13 - Teens 13 or older,12554,9522,1538,4,17,4,11,3
Kami-tachi ni Hirowareta Otoko,6.86,"Adventure, Slice of Life, Magic, Fantasy",TV,12,"Oct 4, 2020 to Dec 20, 2020",Fall 2020,"Lantis, Toei Video, KlockWorx, Nikkatsu, Asmik Ace, Hobby Japan, AMG MUSIC, BS Fuji, Hakuhodo DY Music & Pictures, Amusement Media Academy, Exa International, Bandai Namco Arts",Funimation,Maho Film,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,4193,1585,85100,443,14743,46547,1419,4763
Shoujo☆Kageki Revue Starlight Re LIVE 1st Anniversary PV,6.2,Music,ONA,1,26-Oct-19,Unknown,"Pony Canyon, APDREAM",Unknown,Kinema Citrus,Game,1 min.,PG-13 - Teens 13 or older,7354,10949,809,1,50,303,17,19
A song for You! You? You!!,7.02,Music,Music,1,25-Mar-20,Unknown,Lantis,Unknown,Sunrise,Other,11 min.,PG-13 - Teens 13 or older,3551,11078,775,4,21,609,9,18
Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de...,5.88,"Ecchi, Romance",TV,8,"Apr 6, 2020 to May 25, 2020",Spring 2020,"Studio Mausu, Picante Circus, Suiseisha",Unknown,Magic Bus,Manga,3 min. per ep.,R+ - Mild Nudity,8589,3810,18091,119,1585,7164,344,770
Blue: Line Step Brush,5.92,"Slice of Life, Drama",ONA,1,14-Feb-20,Unknown,Unknown,Unknown,Wit Studio,Original,1 min.,G - All Ages,8466,12268,485,1,24,214,7,10
Uchida Shungicu no Noroi no One-Piece,5.94,"Horror, Romance, Shoujo",Special,1,25-Aug-92,Unknown,TBS,Unknown,"Kyoto Animation, Shin-Ei Animation",Manga,23 min.,PG-13 - Teens 13 or older,8402,11293,704,3,16,377,9,14
Sword Art Online: Alicization - War of Underworld Recap,6.81,"Action, Game, Adventure, Romance, Fantasy",Special,1,4-Jul-20,Unknown,Unknown,Unknown,A-1 Pictures,Light novel,24 min.,PG-13 - Teens 13 or older,4394,3602,20675,81,998,8998,195,362
Noblesse,6.83,"Action, Supernatural, Vampire, School",TV,13,"Oct 8, 2020 to Dec 31, 2020",Fall 2020,"Glovision, Crunchyroll SC Anime Fund, Naver Webtoons",Unknown,Production I.G,Web manga,23 min. per ep.,R - 17+ (violence & profanity),4320,933,158196,1011,30371,55554,4124,13475
Ooya-san to Boku,6.51,Slice of Life,TV,10,"Mar 2, 2020 to Jun 12, 2020",Spring 2020,NHK,Unknown,Fanworks,Manga,5 min. per ep.,G - All Ages,11383,14527,223,0,12,34,10,63
The God of High School,7.07,"Action, Sci-Fi, Adventure, Comedy, Supernatural, Martial Arts, Fantasy",TV,13,"Jul 6, 2020 to Sep 28, 2020",Summer 2020,"Sola Entertainment, Naver Webtoons",Crunchyroll,MAPPA,Web manga,23 min. per ep.,PG-13 - Teens 13 or older,3368,253,480227,3027,84279,270918,11294,29589
ARP Backstage Pass: Celebrate Good Time - Short Stories,5.37,"Music, Comedy",Special,1,2-Mar-20,Unknown,Unknown,Unknown,Dynamo Pictures,Other,23 min.,PG-13 - Teens 13 or older,9992,11337,691,1,33,374,7,34
Eiga Daisuki Pompo-san (Movie),6.51,"Comedy, Drama",Movie,1,4-Jun-21,Unknown,Kadokawa,Unknown,CLAP,Web manga,Unknown,Unknown,,9080,1840,0,0,0,0,0
One Room Third Season,6.46,Slice of Life,TV,12,"Oct 6, 2020 to Dec 22, 2020",Fall 2020,Unknown,Unknown,Zero-G,Original,4 min. per ep.,PG-13 - Teens 13 or older,6080,3765,18583,46,2081,7258,334,381
Sex Friend Osananajimi: Shojo to Doutei wa Hazukashii tte Minna ga Iu kara - The Animation,6.61,Hentai,OVA,1,29-May-20,Unknown,Pink Pineapple,Unknown,Unknown,Visual novel,28 min.,Rx - Hentai,,8534,2289,9,120,1520,76,85
Senyoku no Sigrdrifa,6.48,"Action, Military",TV,12,"Oct 3, 2020 to Dec 26, 2020",Fall 2020,"Aniplex, Good Smile Company, Contents Seed, Sonilude",Aniplex of America,A-1 Pictures,Original,24 min. per ep.,Unknown,6016,2887,31733,63,5624,8319,1070,3754
Meltys Quest,6.07,"Hentai, Fantasy",ONA,Unknown,"Feb 28, 2020 to ?",Unknown,BOMB! CUTE! BOMB!,Unknown,Unknown,Game,16 min.,Rx - Hentai,,9716,1422,5,724,1,245,103
Kimi wa Kanata,6.51,"Drama, Fantasy",Movie,1,27-Nov-20,Unknown,CUCURI,Unknown,Digital Network Animation,Original,Unknown,Unknown,15012,3519,21545,31,412,92,241,41
100-man no Inochi no Ue ni Ore wa Tatteiru,6.45,"Action, Game, Drama, Fantasy, Shounen",TV,12,"Oct 2, 2020 to Dec 18, 2020",Fall 2020,"Lantis, Warner Bros. Japan",Unknown,Maho Film,Manga,23 min. per ep.,PG-13 - Teens 13 or older,6156,1118,132579,324,24199,65929,3062,10866
Garugaku.: Sei Girls Square Gakuin,5.42,"Music, School",TV,Unknown,"Apr 6, 2020 to ?",Spring 2020,Unknown,Unknown,"OLM, Wit Studio",Game,3 min.,PG-13 - Teens 13 or older,9892,9775,1388,1,359,0,82,208
Obake Zukan,6.51,"Comedy, Demons, Kids, Supernatural, Fantasy",TV,Unknown,"Jul 1, 2020 to ?",Summer 2020,Unknown,Unknown,Fanworks,Picture book,2 min.,Unknown,11277,12773,387,0,117,0,32,92
